Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Randomise questionnaire elements?,age,age-text,age-quantised,gender,gender-text,gender-quantised,state_of_residence,state_of_residence-text,state_of_residence-quantised,education_school,education_school-text,education_school-quantised,education_profession1,education_profession1-text,education_profession1-quantised,education_profession2,education_profession2-text,education_profession2-quantised,income,income-text,income-quantised,profession,profession-text,profession-quantised,caregiver1,caregiver1-text,caregiver1-quantised,languages_caregiver1-1,languages_caregiver1-2,languages_caregiver1-3,languages_caregiver1-4,languages_caregiver1-5,languages_caregiver1-6,languages_caregiver1-7,languages_caregiver1-8,languages_caregiver1-9,languages_caregiver1-10,languages_caregiver1-11,languages_caregiver1-12,languages_caregiver1-13,languages_caregiver1-14,languages_caregiver1-15,languages_caregiver1-16,languages_caregiver1-17,languages_caregiver1-18,languages_caregiver1-19,languages_caregiver1-20,languages_caregiver1-text,languages_caregiver1-other,caregiver2,caregiver2-text,caregiver2-quantised,languages_caregiver2-1,languages_caregiver2-2,languages_caregiver2-3,languages_caregiver2-4,languages_caregiver2-5,languages_caregiver2-6,languages_caregiver2-7,languages_caregiver2-8,languages_caregiver2-9,languages_caregiver2-10,languages_caregiver2-11,languages_caregiver2-12,languages_caregiver2-13,languages_caregiver2-14,languages_caregiver2-15,languages_caregiver2-16,languages_caregiver2-17,languages_caregiver2-18,languages_caregiver2-19,languages_caregiver2-20,languages_caregiver2-text,languages_caregiver2-other,other_languages,own_dialect,own_dialect-quantised,party,party-text,party-quantised,political_spectrum,political_spectrum_other,political_spectrum_other-text,political_spectrum_other-quantised,political_orientation_A,political_orientation_A-quantised,political_orientation_B,political_orientation_B-quantised,political_orientation_C,political_orientation_C-quantised,political_orientation_D,political_orientation_D-quantised,populism_A,populism_A-quantised,populism_B,populism_B-quantised,populism_C,populism_C-quantised,populism_D,populism_D-quantised,social_desirability_A,social_desirability_A-text,social_desirability_A-quantised,social_desirability_B,social_desirability_B-text,social_desirability_B-quantised,social_desirability_C,social_desirability_C-text,social_desirability_C-quantised,social_desirability_D,social_desirability_D-text,social_desirability_D-quantised,social_desirability_E,social_desirability_E-text,social_desirability_E-quantised,social_desirability_F,social_desirability_F-text,social_desirability_F-quantised,social_desirability_G,social_desirability_G-text,social_desirability_G-quantised,social_desirability_H,social_desirability_H-text,social_desirability_H-quantised,social_desirability_I,social_desirability_I-text,social_desirability_I-quantised,END QUESTIONNAIRE
1,1719844653630,01/07/2024 14:37:33,1719844655227,2,01/07/2024 16:37:35,86579,59,questionnaire-ry6q,,38653400,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,,(socio-)demographics,18,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,No,36,,19,Weiblich,,2,Nordrhein-Westfalen,,10,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),,5,Fachhochschulabschluss,,10,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,,4,4000 bis unter 5000 Euro,,10,Bundesfreiwilligendienst/ Freiwilliges Soziales Jahr (FSJ)/ Freiwilliges Ökologisches Jahr (FÖJ),,10,(Stief)Mutter,,2,,,,,,,,,,,,,,,,,,,,,,Anderer Dialekt,(Stief)Mutter,,2,,,,,,,,,,,,,,,,,,Plattdeutsch,,,,,test,1,1,Ich würde nicht wählen gehen,,8,0,,,,1,1,1,1,1,1,1,1,2,2,2,2,4,4,2,2,Trifft zu,,1,Trifft zu,,1,Trifft zu,,1,Trifft zu,,1,Trifft zu,,1,Trifft zu,,1,Trifft zu,,1,Trifft nicht zu,,2,Trifft zu,,1,170546
1,1719927614077,02/07/2024 13:40:14,1719927614063,2,02/07/2024 15:40:14,86579,59,questionnaire-ry6q,,38683951,280560572370170,11356342,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,924x1480,924x1312,End study,,,(socio-)demographics,18,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_7,,,No,52,,35,Männlich,,1,Berlin,,3,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,,3,Berufsfachschulabschluss,,7,Kein zweiter Abschluss,,1,1250 bis unter 1500 Euro,,5,Nicht berufstätig (Hausfrau/Hausmann),,13,(Stief)Mutter,,2,Hochdeutsch,,,,,,,,,,,,,,,,,,,,,,(Stief)Vater,,1,Hochdeutsch,,,,,,,,,,,,,,,,,,,,,,nein,1,1,Ich möchte die Frage nicht beantworten,,10,50,,,,3,3,5,5,3,3,5,5,4,4,5,5,3,3,3,3,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,Trifft nicht zu,,2,Trifft nicht zu,,2,Trifft nicht zu,,2,Trifft zu,,1,213232
1,1719928111131,02/07/2024 13:48:31,1719928110649,2,02/07/2024 15:48:30,86579,59,questionnaire-ry6q,,38685075,280560572377190,11356355,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1280x585,End study,,,(socio-)demographics,18,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_3,,,No,54,,37,Männlich,,1,Baden-Württemberg,,1,Hauptschulabschluss/ Volksschulabschluss/ Abschluss der polytechnischen Oberschule 8. oder 9. Klasse,,2,Berufsfachschulabschluss,,7,Abgeschlossene kaufmännische Lehre,,5,2000 bis unter 2500 Euro,,7,Vollzeit berufstätig (mehr als 30 Stunden/Woche),,1,(Stief)Vater,,1,Hochdeutsch,,,,,,,,,,,,,,,,,,,,,,(Stief)Mutter,,2,Hochdeutsch,,,,,,,,,,,,,,,,,,,,,,nein,2,2,BSW,,7,33,,,,4,4,5,5,3,3,5,5,4,4,4,4,3,3,5,5,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,Trifft nicht zu,,2,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,246016
1,1719927907199,02/07/2024 13:45:07,1719927907110,2,02/07/2024 15:45:07,86579,59,questionnaire-ry6q,,38684512,280560572503237,11356389,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1710x1107,1554x788,End study,,,(socio-)demographics,18,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_6,,No,56,,39,Männlich,,1,Berlin,,3,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,,3,Berufsfachschulabschluss,,7,Berufsfachschulabschluss,,7,2000 bis unter 2500 Euro,,7,Vollzeit berufstätig (mehr als 30 Stunden/Woche),,1,(Stief)Mutter,,2,Hochdeutsch,,,,,,,,,,,,,,,,,,,,,,(Stief)Vater,,1,Hochdeutsch,,,,,,,,,,,,,,,,,,,,,,,1,1,AfD,,3,100,,,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Trifft nicht zu,,2,Trifft zu,,1,Trifft zu,,1,Trifft zu,,1,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,Trifft nicht zu,,2,Trifft nicht zu,,2,263160
1,1719927760072,02/07/2024 13:42:40,1719927760649,2,02/07/2024 15:42:40,86579,59,questionnaire-ry6q,,38684198,280560572371991,11356443,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x927,End study,,,(socio-)demographics,18,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_33,No,50,,33,Männlich,,1,Bayern,,2,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),,5,Fachschulabschluss,,8,Kein zweiter Abschluss,,1,3000 bis unter 4000 Euro,,9,Vollzeit berufstätig (mehr als 30 Stunden/Woche),,1,(Stief)Mutter,,2,Hochdeutsch,,,,,,,,,,,,,,,,,,,,,,(Stief)Vater,,1,Hochdeutsch,,,,,,,,,,,,,,,,,,,,,,,2,2,CDU/CSU,,1,96,,,,1,1,5,5,3,3,5,5,3,3,5,5,4,4,1,1,Trifft zu,,1,Trifft zu,,1,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,Trifft nicht zu,,2,Trifft nicht zu,,2,Trifft zu,,1,Trifft zu,,1,143710
1,1719928345903,02/07/2024 13:52:25,1719928346661,2,02/07/2024 15:52:26,86579,59,questionnaire-ry6q,,38685567,280560572515517,11356470,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1707x960,1659x838,End study,,,(socio-)demographics,18,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_4,No,59,,42,Männlich,,1,Baden-Württemberg,,1,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,,3,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,,4,Kein zweiter Abschluss,,1,2000 bis unter 2500 Euro,,7,Pensionär/in oder Rentner/in (früher berufstätig),,11,Großmutter,,3,,,,,,,,,,,,,,,Schwäbisch,,,,,,,,Onkel,,5,,,,,,,,,,,,,,,Schwäbisch,,,,,,,,sächsisch,6,6,AfD,,3,84,,,,3,3,5,5,5,5,5,5,5,5,4,4,4,4,3,3,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,Trifft nicht zu,,2,256626
1,1719928773861,02/07/2024 13:59:33,1719928776167,2,02/07/2024 15:59:36,86579,59,questionnaire-ry6q,,38686076,280560572508197,11356514,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1536x864,1536x723,End study,,,(socio-)demographics,18,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_6,,,No,37,,20,Männlich,,1,Thüringen,,16,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),,5,Hochschulabschluss (Master),,12,Kein zweiter Abschluss,,1,1000 bis unter 1250 Euro,,4,Zurzeit arbeitslos,,8,(Stief)Mutter,,2,,,,,,,,,,,,,,,,,Thüringisch,,,,,,Großmutter,,3,Hochdeutsch,,,,,,,,,,,,,,,,,,,,,,,4,4,Ich würde eine ungültige Stimme abgeben,,9,55,,,,1,1,4,4,3,3,3,3,4,4,3,3,4,4,2,2,Trifft zu,,1,Trifft nicht zu,,2,Trifft nicht zu,,2,Trifft zu,,1,Trifft zu,,1,Trifft zu,,1,Trifft zu,,1,Trifft nicht zu,,2,Trifft zu,,1,344774
1,1719928557837,02/07/2024 13:55:57,1719928557606,2,02/07/2024 15:55:57,86579,59,questionnaire-ry6q,,38685835,280560572506129,11356556,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x754,End study,,,(socio-)demographics,18,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_9,,,No,47,,30,Männlich,,1,Hamburg,,6,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),,5,Hochschulabschluss (Master),,12,Kein zweiter Abschluss,,1,4000 bis unter 5000 Euro,,10,Vollzeit berufstätig (mehr als 30 Stunden/Woche),,1,(Stief)Vater,,1,Hochdeutsch,,,,,,,,,,,,,,,,,,,,,,(Stief)Mutter,,2,Hochdeutsch,,,,,,,,,,,,,,,,,,,,,,,1,1,FDP,,4,50,,,,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,Trifft nicht zu,,2,Trifft zu,,1,Trifft zu,,1,Trifft zu,,1,Trifft nicht zu,,2,Trifft zu,,1,Trifft zu,,1,Trifft zu,,1,Trifft zu,,1,158069
1,1719929985028,02/07/2024 14:19:45,1719929958382,2,02/07/2024 16:19:18,86579,59,questionnaire-ry6q,,38687323,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,,(socio-)demographics,18,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,No,57,,40,Männlich,,1,Bremen,,5,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,,3,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,,4,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,,4,2000 bis unter 2500 Euro,,7,Vollzeit berufstätig (mehr als 30 Stunden/Woche),,1,(Stief)Vater,,1,Hochdeutsch,,,,,,,,,,,,,,,,,,,,,,(Stief)Mutter,,2,Hochdeutsch,,,,,,,,,,,,,,,,,,,,,,nein,1,1,AfD,,3,64,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Trifft zu,,1,Trifft zu,,1,Trifft nicht zu,,2,Trifft zu,,1,Trifft zu,,1,Trifft nicht zu,,2,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,168921
1,1719929406258,02/07/2024 14:10:06,1719929406121,2,02/07/2024 16:10:06,86579,59,questionnaire-ry6q,,38686696,280560572377195,11356797,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x961,1488x804,End study,,,(socio-)demographics,18,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_5,,,No,29,,12,Männlich,,1,Berlin,,3,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),,5,Berufsfachschulabschluss,,7,Kein zweiter Abschluss,,1,4000 bis unter 5000 Euro,,10,Vollzeit berufstätig (mehr als 30 Stunden/Woche),,1,(Stief)Mutter,,2,,,,,,,,,,,,,,,,,,,,,berlinerisch,Anderer Dialekt,(Stief)Vater,,1,,,,,,,,,,,,,,,,,,,,,berlinerisch,Anderer Dialekt,,4,4,AfD,,3,64,,,,4,4,3,3,4,4,3,3,3,3,3,3,2,2,4,4,Trifft zu,,1,Trifft nicht zu,,2,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,Trifft zu,,1,Trifft nicht zu,,2,161897
